student_id,school_id
0,9
1,3
2,2
3,6
4,9
5,6
6,1
7,9
8,0
9,4
10,3
11,6
12,1
13,5
14,6
15,5
16,3
17,1
18,4
19,0
20,7
21,1
22,2
23,1
24,8
25,2
26,7
27,0
28,1
29,9
30,5
31,7
32,3
33,6
34,8
35,3
36,9
37,3
38,8
39,1
40,9
41,2
42,4
43,2
44,5
45,9
46,3
47,9
48,7
49,9
50,1
51,2
52,1
53,6
54,2
55,0
56,2
57,2
58,1
59,6
61,7
63,5
64,9
66,2
68,8
70,8
71,4
72,6
73,8
74,3
75,6
76,7
77,3
78,6
80,4
84,4
85,0
87,0
89,8
92,3
95,4
99,8
62,4
65,0
79,5
81,8
83,7
88,0
91,7
94,8
96,0
97,5
69,7
82,0
90,5
93,7
60,4
86,5
98,4
67,5
